,date,price
127,2018.04.07,6896.2813
128,2018.04.08,7022.7088
129,2018.04.09,6773.9388
130,2018.04.10,6830.9038
131,2018.04.11,6939.55
132,2018.04.12,7916.3725
133,2018.04.13,7889.2313
134,2018.04.14,8003.6813
135,2018.04.15,8357.0375
136,2018.04.16,8051.345
137,2018.04.17,7890.15
138,2018.04.18,8163.69
139,2018.04.19,8273.7413
140,2018.04.20,8863.5025
141,2018.04.21,8917.5963
142,2018.04.22,8792.83
143,2018.04.23,8938.3038
144,2018.04.24,9652.1563
145,2018.04.25,8864.0875
146,2018.04.26,9278.9975
147,2018.04.27,8978.3325
148,2018.04.28,9342.4713
149,2018.04.29,9392.0313
150,2018.04.30,9244.3225
151,2018.05.01,9067.715
152,2018.05.02,9219.8638
153,2018.05.03,9734.675
154,2018.05.04,9692.7175
155,2018.05.05,9826.5975
156,2018.05.06,9619.1438
157,2018.05.07,9362.5338
158,2018.05.08,9180.1588
159,2018.05.09,9306
160,2018.05.10,9014.615
161,2018.05.11,8406.175
162,2018.05.12,8467.6563
163,2018.05.13,8688.0288
164,2018.05.14,8675.2063
165,2018.05.15,8474.2388
166,2018.05.16,8340.2988
167,2018.05.17,8058.6038
168,2018.05.18,8240.725
169,2018.05.19,8234.1525
170,2018.05.20,8520.8125
171,2018.05.21,8395.2325
172,2018.05.22,7983.5175
173,2018.05.23,7502.5588
174,2018.05.24,7578.6913
175,2018.05.25,7460.6938
176,2018.05.26,7334.1638
177,2018.05.27,7344.9675
178,2018.05.28,7105.6725
179,2018.05.29,7460.5838
180,2018.05.30,7375.67
181,2018.05.31,7487.1875
182,2018.06.01,7518.245
183,2018.06.02,7636.1938
184,2018.06.03,7711.365
185,2018.06.04,7490.59
186,2018.06.05,7616.8913
187,2018.06.06,7655.9788
188,2018.06.07,7688.0038
189,2018.06.08,7616.1025
190,2018.06.09,7497.3438
191,2018.06.10,6765.8013
192,2018.06.11,6877.1825
193,2018.06.12,6548.33
194,2018.06.13,6299.5225
195,2018.06.14,6637.7388
196,2018.06.15,6410.7225
197,2018.06.16,6485.8688
198,2018.06.17,6443.6725
199,2018.06.18,6709.48
200,2018.06.19,6737.4138
201,2018.06.20,6758.3788
202,2018.06.21,6717.2025
203,2018.06.22,6053.8963
204,2018.06.23,6170.56
205,2018.06.24,6150.1888
206,2018.06.25,6247.4675
207,2018.06.26,6074.9175
208,2018.06.27,6132.5625
209,2018.06.28,5848.2638
210,2018.06.29,6203.9013
211,2018.06.30,6387.3063
212,2018.07.01,6347.8588
213,2018.07.02,6613.27
214,2018.07.03,6504.9263
215,2018.07.04,6584.7663
216,2018.07.05,6531.2
217,2018.07.06,6600.9863
218,2018.07.07,6755.5613
219,2018.07.08,6704.1825
220,2018.07.09,6664.2063
221,2018.07.10,6302.49
222,2018.07.11,6381.8725
223,2018.07.12,6245.6338
224,2018.07.13,6217.6063
225,2018.07.14,6247.2275
226,2018.07.15,6349.0375
227,2018.07.16,6726.405
228,2018.07.17,7314.9425
229,2018.07.18,7378.7575
230,2018.07.19,7470.825
231,2018.07.20,7330.5363
232,2018.07.21,7404.2875
233,2018.07.22,7396.2863
234,2018.07.23,7717.5
235,2018.07.24,8397.635
236,2018.07.25,8166.76
237,2018.07.26,7929.61
238,2018.07.27,8183.025
239,2018.07.28,8229.96
240,2018.07.29,8215.56
241,2018.07.30,8167.9988
242,2018.07.31,7726.8913
243,2018.08.01,7603.7488
244,2018.08.02,7535.02
245,2018.08.03,7415.5613
246,2018.08.04,7009.0888
247,2018.08.05,7026.9913
248,2018.08.06,6937.0738
249,2018.08.07,6717.2088
250,2018.08.08,6280.58
251,2018.08.09,6537.9025
252,2018.08.10,6143.305
253,2018.08.11,6233.3813
254,2018.08.12,6312.8338
255,2018.08.13,6252.37
256,2018.08.14,6192.3063
257,2018.08.15,6270.0425
258,2018.08.16,6314.2413
259,2018.08.17,6583.2388
260,2018.08.18,6395.3525
261,2018.08.19,6485.7463
262,2018.08.20,6256.6063
263,2018.08.21,6477.3763
264,2018.08.22,6357.5875
265,2018.08.23,6525.6088
266,2018.08.24,6692.6213
267,2018.08.25,6732.5025
268,2018.08.26,6707.6325
269,2018.08.27,6907.6613
270,2018.08.28,7076.745
271,2018.08.29,7035.8125
272,2018.08.30,6982.4
273,2018.08.31,7013.9738
274,2018.09.01,7192.2988
275,2018.09.02,7295.13
276,2018.09.03,7317.94
277,2018.09.04,7388.26
278,2018.09.05,7388.43
279,2018.09.06,6755.14
280,2018.09.07,6555.29
281,2018.09.08,6534.25
282,2018.09.09,6446.26
283,2018.09.10,6374.98
284,2018.09.11,6398.92
285,2018.09.12,6363.87
286,2018.09.13,6535.41
287,2018.09.14,6596.1
288,2018.09.15,6561.72
289,2018.09.16,6544.33
290,2018.09.17,6540.21
291,2018.09.18,6384.18
292,2018.09.19,6448.46
293,2018.09.20,6529.26
294,2018.09.21,6794.33
295,2018.09.22,6814.56
296,2018.09.23,6766.15
297,2018.09.24,6713.56
298,2018.09.25,6603.64
299,2018.09.26,6585.91
300,2018.09.27,6712.1
301,2018.09.28,6785.03
302,2018.09.29,6643.1
303,2018.09.30,6643.78
304,2018.10.01,6653.3
305,2018.10.02,6611.84
306,2018.10.03,6571.46
307,2018.10.04,6603.31
308,2018.10.05,6623.62
309,2018.10.06,6628.54
310,2018.10.07,6641.49
311,2018.10.08,6675.06
312,2018.10.09,6661.41
313,2018.10.10,6640.29
314,2018.10.11,6586.74
315,2018.10.12,6328.5
316,2018.10.13,6308.51
317,2018.10.14,6363.21
318,2018.10.15,6965.06
319,2018.10.16,6673.59
320,2018.10.17,6601.21
321,2018.10.18,6567.54
322,2018.10.19,6493.68
323,2018.10.20,6497.72
324,2018.10.21,6556.38
325,2018.10.22,6543.8
326,2018.10.23,6506.01
327,2018.10.24,6521.99
328,2018.10.25,6504.65
329,2018.10.26,6498.29
330,2018.10.27,6507.41
331,2018.10.28,6502.28
332,2018.10.29,6503.6
333,2018.10.30,6364.99
334,2018.10.31,6349.16
335,2018.11.01,6547.14
336,2018.11.02,6396.86
337,2018.11.03,6400.07
338,2018.11.04,6388.63
339,2018.11.05,6480.59
340,2018.11.06,6463.55
341,2018.11.07,6552.16
342,2018.11.08,6536.92
343,2018.11.09,6456.46
344,2018.11.10,6437.28
345,2018.11.11,6423.25
346,2018.11.12,6434.21
347,2018.11.13,6395.27
348,2018.11.14,6371.55
349,2018.11.15,5774.82
350,2018.11.16,5657.02
351,2018.11.17,5578.58
352,2018.11.18,5653.61
353,2018.11.19,5620.78
354,2018.11.20,4951.61
355,2018.11.21,4675.73
356,2018.11.22,4629.64
357,2018.11.23,4396.42
358,2018.11.24,4413.09
359,2018.11.25,4120.87
360,2018.11.26,4107.14
361,2018.11.27,3862.96
362,2018.11.28,4385.9
363,2018.11.29,4413.020468
